source_no,category,name_ko,romanization,desc_ko,name_en,desc_en,name_ja,desc_ja,name_zh_simp,desc_zh_simp,name_zh_trad,desc_zh_trad
467,생채 [Saengchae],오이냉채,Oinaengchae,"오이를 채 썰어 설탕, 식초 따위를 넣고 차게 만들어서 먹는 음식이다. 껍질이 얇고 단맛이 좋은 가시 오이를 사용하면 더욱 시원하고 아삭하다.",Chilled Cucumber Salad,Chilled julienned cucumbers with a sauce made with vinegar and sugar drizzled on top. Thorny cucumbers that are thin-skinned and sweeter can be used to make the chilled dish more crispy.,きゅうり冷菜,きゅうりの千切りに砂糖や酢などを加え、冷たくして食べる。皮が薄くて甘みのあるきゅうりを使うと、みずみずしさとシャキっとした食感が増す。,凉拌黄瓜,将切成丝的黄瓜用白糖、醋等调味后放凉即可。使用皮薄甜度高的刺黄瓜，口感更加爽口脆嫩。,小黃瓜冷盤,將切絲的小黃瓜用糖、醋等調味後放涼即可。如果使用皮薄甜度高的有刺小黃瓜，口感會更加爽口脆嫩。
468,생채 [Saengchae],오이무침,Oimuchim,"오이를 소금에 절여 고추장, 매실액 등을 넣어 무친 음식으로, 아삭하고 상큼한 맛이 일품이다.",Cucumber Salad,Fresh cucumber lightly salted and mixed with gochujang (red chili paste) and fermented Japanese apricot juice. The chewy texture and refreshing taste of this salad makes it an ideal side dish.,キュウリの和え物,キュウリを塩に漬け、コチュジャン、梅エキスなどを入れて和えたもの。シャキッとした食感とさわやかな味が絶妙。,凉拌黄瓜,黄瓜用盐腌渍后，加入辣椒酱、梅子液等调料一起搅拌即可，味道清脆爽口，十分开胃。,涼拌黃瓜,黃瓜用鹽醃製一下，然後放入辣椒醬、青梅汁等拌勻即可，這道菜口感爽脆。
469,생채 [Saengchae],오이미역초무침,Oimiyeokchomuchim,"마른 미역은 끓는 물에 데친 후 오이, 무와 식초, 매실 액, 소금을 넣어 무친 음식이다. 여름에 가볍고, 상큼하게 먹기 좋은 반찬이다.",Sweet and Sour Seaweed Cucumber Salad,"Parboiled dried brown seaweed mixed with julienned cucumber and radish, vinegar, fermented Japanese apricot juice, and salt. This salad is a tasty and refreshing side dish that is often enjoyed in summer.",キュウリとワカメの酢の物,乾燥ワカメを熱湯で湯がいた後、キュウリ、大根、酢、梅のエキス、塩を入れて和えたもの。夏にさらっと食べたい時にぴったりな一品。,醋拌黄瓜海带,干海带用开水焯一下，加入黄瓜和萝卜以及醋、梅子液、盐一起搅拌即可，味道鲜爽，是一道很适合夏天吃的小菜。,醋拌黃瓜海帶,用熱水焯一下幹海帶，然後跟黃瓜、蘿蔔、食醋、青梅汁、鹽拌勻即可享用。是炎熱夏季裡的上好開胃菜。
470,생채 [Saengchae],오이지무침,Oijimuchim,"오이지는 오이를 소금에 절인 장아찌로, 더위에 음식이 상하지 않게 만든 저장식품이다. 오이지를 물에 담가 짠맛을 우려낸 후 파ㆍ마늘, 고춧가루, 설탕, 참기름으로 무쳐 먹는다.",Pickled Cucumber Salad,"Soak sliced brine-pickled cucumber in water to remove the salty taste and mix with chopped green onion and garlic, red chili powder, sugar, and sesame oil. Brine-pickled cucumber is a type of preserved food made to prevent spoiling in summer.",キュウリの漬物の和え物,キュウリの漬物はキュウリを塩漬けしたもので、暑さで傷まないように作られた保存食。キュウリの漬物を水につけ、塩気を抜いた後、ねぎ、にんにく、粉唐辛子、砂糖、ごま油などで和えて食べる。,凉拌腌黄瓜,腌黄瓜是将黄瓜用盐腌渍而成的酱菜，在高温下也不易坏的窖藏食品。腌黄瓜用水泡一会儿去掉咸味，再加入葱、蒜、辣椒粉、白糖、香油等调料一起搅拌即可。,涼拌醃黃瓜,醃黃瓜是用鹽醃製的黃瓜醬菜，是為了避免食物變質而醃製起來的儲藏食品。把醃黃瓜用清水泡片刻，以去掉鹹味，然後放入蔥蒜、辣椒粉、白糖、香油拌勻即可。
471,생채 [Saengchae],오징어강회,Ojingeoganghoe,데친 오징어를 먹기 좋게 잘라 살짝 데친 쪽파나 미나리로 둘둘 말아 초고추장에 찍어 먹는 요리이다. 입맛이 없을 때 상큼한 채소를 곁들여 멋과 맛이 좋은 요리이다.,Squid Wrapped with Chives (or Water Parsley),"This dish is made by cutting parboiled squid into bite-sized pieces and wrapping them with parboiled chives or water parsley. It is served with a vinegar-based gochujang (red chili paste) dipping sauce. With the refreshing taste of vegetables, this colorful dish stimulates the appetite.",イカのわけぎ巻き,ゆでたイカを食べやすい大きさに切る。それをさっとゆがいたわけぎやセリで巻き、酢コチュジャンにつけて食べる料理。食欲がないとき、さっぱりとした野菜を添えて食べると食欲がわく。,鱿鱼什锦卷,将鱿鱼用开水焯过后切成适合入口的大小，用微微焯过的小葱或水芹卷起来蘸酸辣酱吃。搭配爽口的蔬菜色香味俱全，非常开胃。,魷魚什錦卷,魷魚用水燙過後切成適合入口的大小，在用燙過的黃蔥或水芹捲起來沾醋辣醬吃。這道料理色香味俱全，適合在沒有胃口時食用。
472,생채 [Saengchae],오징어무침,Ojingeomuchim,내장을 제거한 오징어를 적당한 크기로 썰어 끓는 물에 살짝 데친 후 초고추장 양념에 무쳐 낸다. 동해안에서 많이 잡히는 오징어는 강원도 사람들이 즐겨 먹는다.,Squid Salad,"Here, parboiled squid with the innards removed is cut into pieces andseasoned with a vinegar-based gochujang.Squid in Korea comes mostly from the East Sea and is particularly loved in the Gangwon Province area.",イカの和え物,ワタを取ったイカを適当な大きさに切り、沸騰したお湯で湯掻き、酢コチュジャンで和える。東海岸でよく釣れるイカは、江原道の人々に好んで食べられる。,凉拌鱿鱼,鱿鱼去掉内脏洗净后切成适当的 大小，放入开水中焯一下，然后用调味酱搅拌 即可。东海岸盛产鱿鱼，是江原道人喜爱的海 鲜。,涼拌魷魚,把清除內臟的魷魚切成適當的大小，並用熱水燙一下，然後用醋辣醬拌勻。魷魚多產自東海岸，江原道的人們非常愛吃。
473,생채 [Saengchae],오징어초무침,Ojingeochomuchim,끓는 물에 데친 오징어를 먹기 좋은 크기로 썰어 오이와 함께 초고추장 양념으로 무친 것이다. ,Sweet and Sour Squid Salad,Parboiled squid cut into bite-sized pieces and mixed with sliced cucumber and a vinegar-based gochujang (red chili paste) sauce.,イカ酢の物,湯がいたイカを食べやすい大きさに切り、キュウリと酢コチュジャンベースのたれで和えたもの。,醋拌鱿鱼,由于用开水焯一下，切成适合入口的大小，加入黄瓜和醋辣椒酱一起搅拌即可。,醋拌魷魚,用開水焯一下魷魚，然後切成適當大小，跟黃瓜一起用醋辣醬拌勻即可。
474,생채 [Saengchae],올챙이묵,Olchaengimuk,곱게 간 옥수수 앙금을 반죽해 구멍이 여러 개 난 그릇에 넣고 누르면 찬물 위로 올챙이 모양의 묵이 뚝뚝 떨어진다. 김칫국에 말아 먹거나 양념장에 비벼 먹는다.,Corn Starch Noodles,"First make cornstarch by boiling finely grated corn. Next, force the mixture through a perforated container into a bowl of cold water to make tadpole-shaped muk (jelly). Olchaengi-muk is served in kimchi soup or with sauce.",とうもろこし麺,細かくひいたとうもろこしの粉をこね、いくつも穴の開いた容器に入れて押し出すと、オルチェンイ（おたまじゃくし）の形になって出てくる。そのため韓国語ではオルチェンイムクという。出てきた麺をキムチの汁に混ぜたり、ヤンニョムジャンと混ぜて食べる。,蝌蚪玉米凉粉,将细玉米粉和成面团，放在 有很多小孔的器皿上面用力按压，蝌蚪形状 的凉粉就会通过小孔掉入凉水中。蝌蚪玉米 凉粉可以放入辛奇汤里吃或加些调料拌着 吃。,蝌蚪玉米涼粉,磨成細粉的玉米澱粉用水和好，然後放進大孔篩子擠壓，蝌蚪形狀的涼粉會掉入涼水盆裡。用辛奇湯泡著吃或用調味汁拌著吃都非常美味。
475,생채 [Saengchae],우렁초무침,Ureongchomuchim,"살짝 데친 우렁이와 미나리, 양파, 오이 등의 채소를 고춧가루와 설탕, 식초 등으로 만든 양념장에 버무려 먹는다. 소면을 삶아 곁들이면 식사대용으로 좋다.",Freshwater Snail Salad with Vinegar Dressing,"Parboiled freshwater snails and vegetables, such as water parsley, onion, and cucumber, flavored with a sauce made with red chili powder, sugar, and vinegar. The dish can be served with boiled noodles as a meal.",タニシの酢の物,さっとゆでたタニシやセリ、玉ねぎ、きゅうりなどの野菜を、粉唐辛子や砂糖、酢などで作ったたれで和えたもの。ゆでた素麺を添えて食べると、食事の代わりにもなる。,酸辣凉拌田螺,将稍微焯过水的田螺和水芹、洋葱、黄瓜等蔬菜用辣椒粉、白糖、醋等做成的料汁拌匀即可。也搭配煮好的龙须面作为正式的一餐。,醋拌田螺,將稍微用水燙過的田螺和水芹、洋蔥、小黃瓜等蔬菜一起以辣椒粉、糖、食醋等調製而成的醬汁拌勻即可。也可搭配煮好的細麵作為正餐。
476,생채 [Saengchae],청포묵무침,Cheongpomungmuchim,"녹두 전분으로 만든 청포묵에 고기볶음과 데친 미나리, 구운 김 등을 섞어 만든 묵무침으로, 탕평채라고도 부른다.",Mung Bean Jelly Salad,"Sliced mung bean jelly mixed with pan-fried beef, water parsley, and toasted seaweed. Mung Bean Jelly Salad is referred to as tangpyeongchae in Korean.",緑豆こんにゃくの和え物,緑豆デンプンで作られた緑豆こんにゃくに肉炒め、湯がいたセリ、焼きのりなどを混ぜて作ったこんにゃくの和え物。ところてんの和え物とも呼ばれる。,绿豆凉粉,将绿豆凉粉和炒肉、用开水焯过的水芹、烤海苔等一起搅拌即可。绿豆凉粉又叫做“荡平菜”。,綠豆涼粉,在用綠豆澱粉製作的涼粉裡放入炒肉、燙好的水芹、烤紫菜等拌勻的菜叫蕩平菜。
477,생채 [Saengchae],파강회,Paganghoe,쪽파를 데쳐서 돼지고기나 편육을 휘감아 상투처럼 만들고 잣을 박은 것을 초고추장에 찍어 먹는 요리이다. 쪽파 대신 실파나 미나리 등으로 만들어도 맛이 상큼하다.,Meat Wrapped with Chives,"Cold pork slices or other boiled pork cuts wrapped with parboiled chives in the shape of a topknot, with pine nuts inserted into the part resembles a topknot. It is served with a vinegar-based gochujang (red chili paste) sauce. Instead of chives, small green onions or water parsley can be used for their refreshing flavor.",わけぎ巻き,ゆでたわけぎで豚肉や薄切りゆで肉を巻き、松の実を入れて酢コチュジャンにつけて食べる料理。わけぎの代わりにセリなどを使ってもさっぱりとした味が楽しめる。,葱什锦卷,用焯过水的小葱将猪肉或肉片缠绕成发髻状后嵌上松仁，蘸着酸辣酱来吃。用细葱或水芹等代替小葱，味道也很爽口。,蔥什錦捲,用燙過的黃蔥捲起豬肉或白切肉片做成髮髻狀，最後放上松果，沾醋辣醬吃。用細蔥或水芹等代替黃蔥，味道也很清爽。
478,생채 [Saengchae],파래무침,Paraemuchim,"파래는 갈파래 과에 속하는 해조류로 주로 무쳐먹거나 김으로 만들어 먹는다. 파래와 채 썬 무, 간장, 참기름, 깨소금을 넣어 무친다.",Green Laver Salad,"For this dish, mix sea lettuce with julienned radish, soy sauce, sesame oil, and sesame seeds. Sea lettuce is a type of edible green algae that is used in salads or made into a dried laver.",青海苔の和え物,青海苔はアオサ科に属する海藻類で、主に和え物やのりとして食べる。青海苔と千切りにした大根、カンジャン、ごま油、ごま塩を加えて和える。,凉拌海青菜,海青菜是属于石莼科的海藻类，主要凉拌或制成紫菜。将海青菜和萝卜丝加入酱油、香油、芝麻盐一起搅拌即可。,涼拌海青菜,海青菜屬於褐藻類，主要拌著吃或做成紫菜。把海青菜與切好的蘿蔔，用醬油、香油、芝麻鹽拌勻即可享用。
479,생채 [Saengchae],파무침,Pamuchim,"대파를 채쳐서 간장, 고춧가루, 마늘, 참기름 등을 넣어 무친 것으로, 구운 고기와 함께 많이 먹는다.",Green Onion Salad,"Julienned green onion tossed with soy sauce, red chili powder, chopped garlic, and sesame oil. This salad is a perfect match for grilled meat dishes.",ねぎの和え物,千切りにしたねぎをカンジャン、粉唐辛子、にんにく、ごま油などで和えたもの。焼肉と一緒に食べることが多い。,凉拌葱丝,大葱切成细丝，加入酱油、辣椒粉、蒜、香油等调料一起搅拌即可，可搭配烤肉一起吃。,涼拌蔥絲,把大蔥切成細絲，用醬油、辣椒面、蒜蓉、香油等拌勻即可，一般跟烤肉搭配著吃。
480,생채 [Saengchae],해파리냉채,Haeparinaengchae,"데친 해파리에 배와 오이채를 넣고, 겨자마늘초장에 버무려 먹는 음식이다.꼬들꼬들한 식감과 새콤달콤하면서 톡 쏘는 맛이 일품이다.",Chilled Jellyfish Salad,"Thinly-sliced,parboiled jellyfish and julienned cucumbers drizzled with a mustard or garlic vinaigrette sauce. The crunchy texture, tangy sauce, and sharp bite of mustard fumes create a distinctively enjoyable dish.",クラゲの冷菜,ゆがいたクラゲと細切りにしたきゅうりを辛子ソースで和えて食べる。コリコリした食感と鼻につんとくる甘酸っぱいソースが絶品。,凉拌海蜇,海蜇用开水焯好，加入黄瓜丝，用 芥末醋酱搅拌均匀即可，口感脆嫩，酸甜适 口。,涼拌海蜇,海蜇用滾水清燙後，加入梨、黃瓜絲、芥子、大蒜、食醋製成。口感脆嫩，酸甜適口。
481,전골 [Jeongol],갈낙전골,Gallakjeongol,"소갈비와 낙지를 넣어 끓인 전골 요리로 전라남도 영암군의 향토음식이다.  기호에 따라 버섯이나 새우, 조개를 넣어도 맛이 좋다.",Short Rib and Octopus Hot Pot,"A local specialty of Yeongam-gun, South Jeolla Province, this dish is made by boiling short ribs and octopus together in a hot pot. Other ingredients, such as mushroom, shrimp, and clam, may also be added.",カルビとテナガダコの寄せ鍋,牛カルビとテナガダコの寄せ鍋。全羅南道霊岩郡の郷土料理。好みによりきのこやエビ、貝類を入れても美味しい。,排骨章鱼火锅,将牛排骨和章鱼一起炖煮的火锅，是全罗南道灵岩郡的特色菜，也可根据个人喜好，放一些菌类或鲜虾、贝类等。,排骨章魚火鍋,這是一道把牛排骨與章魚混在一起煮的全羅南道靈岩郡的地方美食。可根據喜好加入蘑菇、蝦和貝類。
482,전골 [Jeongol],곱창전골,Gopchangjeongol,"소나 돼지의 내장을 손질해 양념한 다음 당근, 양파, 쑥갓 등 여러 가지 채소와 함께 담아 육수를 부어 끓인 음식이다.",Beef Tripe Hot Pot,"Beef or pork innards cooked in a spicy broth with sliced carrots, onion, crown daisy, and other fragrant vegetables.",コプチャンの寄せ鍋,牛や豚の内臓を下ごしらえして薬味で味付けし、にんじんや玉ねぎ、春菊などの野菜と一緒に鍋に入れ、スープを加えて煮た鍋。,肥肠火锅,将牛或猪的肥肠洗净腌制以后，与 胡萝卜、洋葱、茼蒿等各种蔬菜一起加入高汤 熬煮而成。,肥腸火鍋,肥腸火鍋是處理好的牛內臟調成辣味後加入蔬菜，倒入高湯現煮現吃的火鍋。還可放入烏龍麵，當主食吃。
483,전골 [Jeongol],국수전골,Guksujeongol,얇게 썬 소고기와 채소를 멸치국물에 넣고 끓인 뒤 생면을 넣어 한 번 더 끓인 음식이다. 손질한 재료나 국물을 추가로 넣어가면서 즉석에서 끓여 먹는다.,Noodle Hot Pot,"A simmering pot of thinly sliced beef and vegetables cooked at the table. After the beef and vegetables have been consumed, fresh noodles are added to the remaining broth and it is brought to a boil again.",麺の寄せ鍋,薄切りの牛肉、野菜、生麺にだし汁を加えて煮た鍋料理。,面条火锅,用鳀鱼熬出高汤，加入切成薄片的 牛肉和蔬菜熬煮一定时间，然后再加入生面 条继续熬煮至熟。边煮边吃，食材和高汤吃完 了可以继续添加。,麵條火鍋,麵條火鍋是將切成薄片的牛肉和蔬菜放入高湯裡煮，放入生麵後煮著吃的火鍋。
484,전골 [Jeongol],김치전골,Kimchijeongol,"잘 익은 배추김치와 돼지고기를 양념하여 전골냄비 바닥에 담고 그 위에 김치, 양념한 돼지고기, 양파, 파 등을 담은 뒤 육수를 붓고 끓이다가 간을 맞춰 먹는 대표적인 전통음식이다.",Kimchi Hot Pot,"This dish is prepared by adding well-aged kimchi and pork to a broth and boiling with other ingredients, such as onion and green onion. This is one of the most traditional Korean dishes.",キムチの寄せ鍋,よく熟した白菜キムチと豚肉を味付けして鍋に敷き、その上にキムチや味付けした豚肉、玉ねぎ、ネギなどを入れ、肉だし汁を入れて煮込んだ韓国の代表的な伝統料理。,辛奇火锅,将完全发酵的辛奇和调味后的猪肉放入锅底，上面放入洋葱、大葱等各种材料，然后倒入高汤煮至沸腾，最后按喜好调节咸淡，是韩国最具代表性的传统饮食之一。,辛奇火鍋,將辛奇和豬肉在調好味後放入鍋裡，加入豆腐、洋蔥等副食材邊煮邊吃的火鍋。
485,전골 [Jeongol],낙지곱창새우전골,Nakjigopchangsaeujeongol,"낙지, 곱창, 새우와 각종 채소를 냄비에 보기 좋게 담은 후 육수를 붓고 얼큰한 양념장을 더해 끓여 먹는 음식이다. 낙지, 곱창, 새우의 맛이 어우러져 술안주로 즐겨 먹는다.","Octopus, Shrimp, and Beef Tripe Hot Pot","Octopus, beef or pork tripe, shrimp, and a variety of vegetables attractively arranged in a pot and boiled in broth flavored with a spicy sauce. The combined flavors of octopus, tripe, and shrimp make the dish a popular accompaniment to alcoholic beverages.",テナガダコとコプチャンとエビの寄せ鍋,テナガダコ、コプチャン、エビ、野菜を鍋にきれいに並べ、出し汁と辛いたれを加えて煮たもの。テナガダコ、コプチャン、エビの風味が相まって、お酒のつまみとしても人気。,章鱼肥肠虾仁火锅,将章鱼、肥肠、虾仁整齐摆放在锅里，再放入高汤和香辣的调味酱后熬煮而成。章鱼、肥肠、虾仁的味道相得益彰，是很受欢迎的下酒菜。,章魚小腸蝦仁火鍋,將章魚、小腸、蝦仁整齊放在鍋裡，加入高湯和香辣的調味醬煮成。章魚、小腸和蝦仁的味道相得益彰，是很受歡迎的下酒菜。
486,전골 [Jeongol],낙지전골,Nakjijeongol,"전골냄비에 양념한 쇠고기와 낙지, 느타리버섯, 붉은 고추, 미나리 등을 담고 육수를 부어 끓이다가 국간장과 소금으로 간을 한 전골이다.",Octopus Hot Pot,"Seasoned beef, octopus, oyster mushroom, red chili pepper, and water parsley boiled with a variety of vegetables in broth in a hot pot. Cooked at the table, this dish is seasoned with soy sauce and salt.",テナガダコの寄せ鍋,たれをからめた牛肉とテナガダコ、平茸、赤唐辛子、セリなどを鍋に入れ、出し汁を注いで煮る。クッカンジャンと塩で味を調えて食べる寄せ鍋。,章鱼火锅,将调味好的牛肉和章鱼、平菇、红辣椒、水芹等材料放入锅中，再倒入高汤一起炖煮，最后用淡酱油和盐调味即可。,章魚火鍋,火鍋裡放入調好味的牛肉與章魚、平菇、紅椒、水芹等，然後倒入高湯煮開，最後用湯醬油和食鹽調味。
487,전골 [Jeongol],닭한마리,Dakhanmari,"커다란 냄비에 닭 한 마리와 감자, 떡, 대추, 버섯 등을 함께 넣어 테이블에서 끓여 먹는 음식으로, 고춧가루와 간장으로 만든 소스에 찍어 먹는다. 건더기를 다 건져 먹은 후 국물에 칼국수를 끓여 먹으면 별미이다.",Whole Chicken Stew,"A whole chicken cooked with potato, rice cake, date, and mushroom in a large pot at the table and served with a mixture of soy sauce and red chili powder dipping sauce. Near the end of the meal, knife-cut noodles are boiled in the excess sauce. ",丸鶏の寄せ鍋,大きな鍋に鶏１羽、じゃがいも、餅、なつめ、きのこなどを入れて直接客席で煮て食べる料理。粉唐辛子とカンジャンのソースにつけて食べる。最後に、残ったスープでカルグクスを煮込んで食べるのもおすすめ。,全鸡火锅,将一整只鸡和土豆、米糕、红枣、蘑菇等配菜一起放入大锅中，在餐桌上现煮现吃，鸡肉和其他材料可蘸用辣椒粉和酱油做成的调料汁吃。鸡肉和配菜吃完后，可在剩下的汤水中下刀切面吃，别有一股风味。,全雞火鍋,將整隻雞和土豆、年糕、大棗、蘑菇等放入大鍋裡，在餐桌上邊煮邊吃。可以用辣椒粉和醬油做調味醬沾著吃。雞肉和配菜吃完後，用剩下的湯煮麵吃非常美味。
488,전골 [Jeongol],두부전골,Dubujeongol,"두부와 양파, 당근, 미나리, 소고기 등을 보기 좋게 둘러 담고 육수를 자작하게 부어 끓여가며 먹는 음식이다. 맛이 순하고 담백하다.",Bean Curd Hot Pot,"Sliced bean curd, onion, carrots, Korean parsley, and beef, artfully arranged and cooked in a hot pot.Loved by many for its mild and refreshing taste.",豆腐の寄せ鍋,豆腐や玉ねぎ、にんじん、せり、牛肉などをきれいに並べ、スープを加えたもの。煮込みながら食べる。,豆腐火锅,将豆腐与洋葱、胡萝卜、水芹、牛肉 等整齐码放，倒入适量的高汤后边煮边吃，味 道比较柔和清淡。,豆腐火鍋,豆腐火鍋是將中間夾肉的煎豆腐和蔬菜放入火鍋裡，倒入醬湯煮著吃的飲食。
489,전골 [Jeongol],만두전골,Mandujeongol,"소고기, 버섯, 당근 등의 재료를 둘러 담고 만두를 얹어 끓인 음식이다.다양한 재료가 어우러진 국물 맛과 함께 만두까지 즐길 수 있다.",Dumpling Hot Pot,"Mandu (dumplings) simmered in broth with beef, mushrooms, carrots, and other vegetables. The many ingredients produce a savory soup that goes well with the dumplings.",餃子の寄せ鍋,鍋に牛肉やきのこ、にんじんなどを並べ、餃子を加えて煮た料理。様々な食材が生み出す風味豊かなスープと餃子が同時に楽しめる一品。,饺子火锅,将牛肉、蘑菇、胡萝卜等码放整 齐，再放入饺子熬煮。各种食材混合而成的汤 汁味道丰富而鲜美，还可吃到美味的饺子。,餃子火鍋,餃子火鍋是將餃子和牛肉、香菇等擺好邊煮邊吃的飲食。既可放入辣調味料品嘗鮮辣的味道，也可不加辣調味料，煮成清湯後再沾加醋醬油吃。
490,전골 [Jeongol],버섯전골,Beoseotjeongol,"멸치국물에 버섯을 넣고 끓인 전골이다. 느타리, 표고, 송이 등 여러 가지 버섯을 주재료로 하여 채소, 소고기 등을 한데 담고 장국을 부어 끓인 음식이다.",Mushroom Hot Pot,"A hot pot of oysters and shitake, pine, and other assorted mushrooms. Beef and various vegetables are added to enhance the flavor of the broth.",きのこの寄せ鍋,平茸や椎茸、松茸といったきのこを主材料に、野菜や牛肉などを加え、だし汁で煮た料理。,蘑菇火锅,用鳀鱼熬制的高汤里加入蘑菇熬 煮的火锅，以糙皮侧耳蘑菇、香菇、松茸等各 种蘑菇为主食材，外加蔬菜、牛肉等，加入高 汤熬煮而成。,蘑菇火鍋,蘑菇火鍋是在各種菇類和牛肉裡倒入鳀魚高湯後煮著吃的飲食。
491,전골 [Jeongol],불낙전골,Bullakjeongol,"불고기와 낙지, 채소를 한데 담고 육수를 부어 끓여가며 먹는 음식이다.달콤하고 부드러운 불고기와 매콤하고 쫄깃쫄깃한 낙지가 잘 어우러진다.",Bulgogi and Octopus Hot Pot,"A hot pot of bulgogi, baby octopus, and vegetables simmered in broth. The sweet and tender bulgogi goes well with the spicy, chewy baby octopus.",牛肉とテナガダコの寄せ鍋,牛肉とテナガダコ、野菜を鍋に入れ、スープを加えて煮込みながら食べる。甘くて柔らかい牛肉と、辛くて歯ごたえのあるテナガダコが絶妙のハーモニーを織り成す一品。,烤牛肉章鱼火锅,将烤牛肉与章鱼及蔬菜放 入锅中，倒入高汤后边煮边吃。软嫩甘甜的牛 肉和鲜辣筋道的章鱼味道极配，可谓相得益 彰。,烤牛肉章魚火鍋,烤牛肉章魚火鍋是放入調成辣味的章魚和用醬油調味的烤肉、蔬菜後，邊煮邊吃的飲食。烤肉與章魚的味道相協調而呈現鮮美味道。
492,전골 [Jeongol],소고기국수전골,Sogogiguksujeongol,"얇게 썬 소고기와 여러 가지 채소에 육수를 부어 즉석에서 끓여먹는 음식이다. 고기와 채소, 육수를 추가로 넣어가면서 끓이고, 건더기를 다 먹으면 국물에 면을 넣어 끓여 먹는다. ",Beef and Noodle Hot Pot,"A simmering pot of thinly sliced beef and vegetables cooked at the table. After the beef and vegetables have been eaten, fresh noodles are added to the remaining broth and brought to a boil once again.",牛肉と素麺の寄せ鍋,薄切りにした牛肉と野菜に出し汁に加えて煮る即席の寄せ鍋料理。肉、野菜、出し汁を追加しながら食べる。〆に麺を入れて食べる。,牛肉面条火锅,将切成薄片的牛肉和各种蔬菜一起放入锅中，倒入高汤后一起炖煮，边煮边吃。牛肉和蔬菜以及高汤可继续添加，火锅料吃完后，还可下面。,牛肉麵條火鍋,把切成薄片的牛肉與各種蔬菜用高湯煮開即可。可以不斷放入肉類和蔬菜，湯不夠時可以隨時加高湯。火鍋料吃完後，可以用剩下的火鍋湯煮麵條吃。
493,전골 [Jeongol],소고기버섯전골,Sogogibeoseotjeongol,"느타리버섯, 표고버섯, 송이버섯 등 여러 가지 버섯과 양념한 소고기를 넣어 끓인 전골이다. 향긋한 버섯의 향이 일품으로 찬바람이 불기 시작하는 가을에 주로 먹는다.",Beef and Mushroom Hot Pot,"A hot pot of oysters and shitake, pine, and other assorted mushrooms. Beef and various vegetables are added to enhance the flavor of the broth. This dish becomes a popular choice among Koreans when the cold wind begins to blow in fall.",牛肉ときのこの寄せ鍋,平茸、しいたけ、松茸などの様々なきのことたれにからめた牛肉の寄せ鍋。きのこの香りが絶妙で、冷たい風が吹き始める秋頃によく食べられる。,牛肉蘑菇火锅,将平菇、香菇、松茸等各种菌类和调味好的牛肉一起放入锅中炖煮即可。菌类特有的香味刺激人的味蕾，最适合凉风徐徐的秋天食用。,牛肉蘑菇火鍋,把平菇、香菇、松茸等各種蘑菇和提前醃製好的牛肉一起煮開。這樣煮熟的蘑菇非常香，這道火鍋主要在刮寒風之前的晚秋時節多吃。
494,전골 [Jeongol],소고기전골,Sogogijeongol,전골냄비에 양념한 소고기와 각각의 채소를 돌려 담아 육수를 붓고 즉석에서 끓여 먹는 요리이다. 청장과 소금으로 간을 하고 계란을 중앙에 깨뜨려 넣어 반숙이 될 때까지 더 끓인다.,Beef Hot Pot,"This dish is made by boiling seasoned beef with a variety of vegetables in a broth. Cooked right at the table, this hot pot dish is seasoned with salt and boiled until the egg in the center becomes soft boiled.",牛肉の寄せ鍋,鍋に味付けした牛肉と色々な野菜を敷き、肉だし汁を入れ、煮込みながら食べる料理。薄口のしょう油と塩で味付けし、卵を割って真ん中に入れ、半熟になるまで煮る。,牛肉火锅,将调味后的牛肉和各种蔬菜整整齐 齐地放入火锅锅子里，然后倒入高汤煮沸，边 煮边吃。用清酱和盐调节咸淡，最后将一个生 鸡蛋打入锅子中央并继续煮至半熟。,牛肉火鍋,放上調好味的牛肉和蔬菜後倒入高湯煮著吃的飲食。
495,전골 [Jeongol],순두부전골,Sundubujeongol,"순두부와 버섯, 애호박, 콩나물 등을 넣고 육수를 부어 끓여 먹는 음식이다. 이때 끓이면서 육수를 계속 부어가면서 먹는다. 만두나 명란 등을 추가해 다양한 맛으로 즐겨도 좋다.",Soft Bean Curd Hot Pot,"Soft bean curd, mushroom, zucchini, and bean sprouts boiled in a broth. The broth is continually added to the boiling pot. Other ingredients, such as dumplings or pollack roe, can be added to enjoy a variety of flavors.",スンドゥブの寄せ鍋,出し汁にスンドゥブやきのこ、ズッキーニ、豆もやしなどを入れ、煮ながら食べる料理。餃子や明太子などを加えて食べても美味しい。,嫩豆腐火锅,在锅中放入嫩豆腐、蘑菇、西葫芦、豆芽等，再倒入高汤熬煮而成。吃的时候，边煮边加高汤。还可放入饺子或明太鱼子等，纵享多种风味。,嫩豆腐火鍋,在鍋中放入嫩豆腐、蘑菇、櫛瓜、豆芽等，再倒入高湯熬煮。享用時邊煮邊加高湯。也可加入餃子或明太子等，享受多種風味。
